document_id	author	title	period	period_reason	timeframe_start	timeframe_end	preferred_location	accepted_locations	location_reason	preferred_location_QID	acceptable_location_QIDs	Anthology		
bpt6k61486960	Regnard, Jean-François	Attendez-moy sous l'orme . Comedie	Early modern	- This is a comedy - Name of the characters (Colin, Lisette…)  - Publication date	1600	1694	Poitou	Poitou | France	- Poitiers is mentioned - French names	Q954076 | Q142	Q954076 | Q142	No		
bpt6k5651559g		Dialogue du cardinal de Richelieu voulant entrer en Paradis, et sa descente aux enfers . Tragi-comédie	Early modern	- Historical character: Richelieu - Just after Richelieu's death	1642	1642	Hell and paradise	Hell and paradise	- Hell and paradise are mentioned		Q564 | Q3363340	No		
bpt6k1090155z	Rotrou, Jean de	Les Sosies, comédie	Ancient Greece	- Roman gods (Juno, Jupiter, Mercury) - Greek myth of Amphitryon and Alcmene - Adapted from Plautus - Mycenian period (Alcmene is the daughter of a Mycenian king)	-1350	-1200	Greece	Greece	- Greek myth of Amphitryon and Alcmene - Greek places mentioned	Q41	Q41	No		
bpt6k1526235p	Félibien, André	Relation de la feste de Versailles. Du dix-huitiéme juillet mil six cens soixante-huit / [par A. Félibien]	OUT	OUT	OUT	OUT	OUT	OUT	OUT	OUT		OUT	Attention doublon	https://gallica.bnf.fr/ark:/12148/bpt6k1526235p/f31.item
bpt6k1090271d	Prévost, Jean	Les Secondes Œuvres poetiques et tragiques de Jeahn Prevost [...], Imprimees nouvelement										Yes		
bpt6k5849655v	Lavalise, De	La farce des courtisans de Pluton et leur pèlerinage en son royaume	Early modern	- This is a Mazarinade - Historical character: Cardinal Mazarin	1648	1653	Paris	Paris | France	- Paris is mentioned - Historical character: Mazarin	Q90	Q90 | Q142	No		
bpt6k1090133c	Rosimond, Claude Rose	La Dupe amoureuse, comédie	Early modern	- This is a comedy - Publication date - Typical characters: lover, valet	1600	1671	Paris	Paris | France	- Paris is mentioned is mentioned as the setting	Q90	Q90 | Q142	No		
btv1b8614585w		Le martyre de sainte Reyne d'Alise , tragedie. Composée par un religieux de l'abbaye de Flavigny, où repose le corps de sainte Reine. Premiere edition	Ancient Rome	- Historical character: saint Regina (Sainte Reine) - Date of Regina's death	238	238	Alesia	Alesia | Gaul | France	- Alesia is the place of Regina's martyr	Q835966	Q835966 | Q38060 | Q142	No		
bpt6k61251657	Chevreau, Urbain	L'Innocent exilé . Tragi-comédie	Ancient Rome	- Hermogenes as a (greek) classical name - Rome is mentioned	-27	510	Persia	Persia | Iran	- Persia is mentioned - King, prince… of Persia	Q794	Q794 | Q794	No		
btv1b86221269	Rotrou, Jean de	La Diane comédie . Par le Sieur Rotrou. Dédiée à Monsieur le comte de Fiesque	Early modern	- This is a comedy - Name of the characters - Publication date	1600	1635	Paris	Paris | France	- Paris is mentioned is mentioned as the setting	Q90	Q90 | Q142	No		
bpt6k9807756q	Genest, Charles-Claude	Zelonide, princesse de Sparte . Tragedie	Ancient Greece	- This is a tragedy - Historical event: Siege of Sparta by Pyrrhus of Epirus	-272	-272	Sparta	Sparta | Greece	- Sparta is mentioned as the setting - Characters have greek names	Q5690	Q5690 | Q41	No		
bpt6k63635719	Hardy, Alexandre	Les chastes et loyales amours de Théagène et Cariclée , réduites du grec de l'Histoire d'Héliodore en huict poèmes dragmatiques ou théâtres consécutifs, par Alexandre Hardy, Parisien	Ancient Greece	- Famous story adapted from the Aethiopica of Heliodorus	-400	-300	Egypt	Egypt | Ethiopia | Greece | Meroë | Kingdom of Kush | Sudan | Nubia	- Main setting is along the Nile - Nubian princess marrying a Greek man	Q79	Q79 | Q115 | Q41 | Q5780 | Q241790 | Q1049 | Q135028	No	Attention: c'est pas l'ID de l'éthiopie actuelle	
bpt6k1519298v	Chevalier, Jean	La disgrâce des domestiques : comédie représentée sur le théâtre royal du Marais / [par J. Chevalier]	Early modern	- This is a comedy - Name of the characters - Publication date	1600	1662	Paris	Paris | France	- Place is probable - This is a comedy - Publication date	Q90	Q90 | Q142	No		
bpt6k852913n	Néel	L'illusion grotesque ou le point nécromancien, comédie / par M. Néel...	Early modern	- This is a comedy - Name of the characters - Publication date	1600	1678	Châlons-en-Champagne	Châlons-en-Champagne | France	- Châlons-en-Champagne is mentioned as the setting	Q47135	Q47135 | Q142	No		
btv1b8607044w	Scudéry, Georges de	L'Amour tirannique, tragédie-comédie, par M. de Scudéry	Ancient Rome	- Kingdom of Cappadocia - Amasya joined Cappadocia in 112, after it became a Roman province - Rome is mentioned	112	200	Amasya 	Amasya  | Cappadocia | Minor Asia | Greece | Turkey | Roman empire	- Amasya is mentioned as the setting place - Amasya, capitale de la Cappadoce	Q170532	Q170532 | Q217265 | Q51614 | Q41 | Q43 | Q2277	No		
bpt6k1280290z	Corneille, Pierre	Cinna, ou la Clémence d'Auguste, tragédie (par P. Corneille)...	Ancient Rome	- Augustus empror of Rome	-27	14	Rome	Rome | Roman empire	- Rome is mentioned - Roman politicians	Q220	Q220 | Q2277	No		
bpt6k15163632	Molière	Les Festes de l'Amour et de Bacchus, pastorale [Divertissements des Amants magnifiques, de George Dandin et Pastorale comique, de Molière, arrangés par Quinault et Lully] précédée de la Grotte de Versailles, représentées à l'Académie royale de musique	Ancient Greece	- Pastoral play	-480	-31	Arcadia	Arcadia	- Arcadia is mentioned	Q170054		No	Achtung il manque des pages, notamment celle où le lieu est mentionné	Texte un peu différent, mais très probable doublon
bpt6k10901126	Colonia, Dominique de	Germanicus, tragédie	Ancient Rome	- Historical character: Germanicus, son of Tiberiusm	-15	19	Rome	Rome | Roman empire	- Rome is mentioned as the setting - Roman politicians	Q220	Q220 | Q2277	No		
bpt6k8569793	Romain, Nicolas	Maurice tragoedie. Dediée à tres-haut, & tres-genereux prince monseigneur de Vaudemont François de Lorraine. Par Nicolas Romain docteur és droicts, conseiller de mondict seigneur, capitaine, prevost, & gruyer du Pont-à-Mousson	Byzantine Empire	- Historical character: Byzantine emperor Maurice - Year of his death	602	602	Constantinople	Constantinople | Byzantium | Istanbul | Byzantine Empire	- Place of death of Maurice - Characters have Greek names	Q16869	Q16869 | Q23725 | Q406 | Q12544	No		
bpt6k1090060x	Millet, Jean	Pastorale et tragi-comedie de Janin	Early modern	- Name of the characters (Janin) - Grenoble is mentioned - Publication date	1600	1692	Grenoble	Grenoble | France	- Grenoble is mentioned	Q1289	Q1289 | Q142	No		
bpt6k1090048g	Puget de La Serre, Jean	Le Pyrame, tragédie en prose	Neo-Babylonian Empire	- This is a tragedy - Myth of Pyramus and Thisbe	-626	-539	Babylon	Babylon | Babylonia | Mesopotamia | Iraq	- Myth of Pyramus and Thisbe	Q5684	Q5684 | Q47690 | Q11767 | Q796	No		
bpt6k1090139v		La Cocue imaginaire, comedie	Early modern	- This is a comedy - Name of the characters - Publication date - Typical characters: bourgeois, valet, lover	1600	1662	Paris	Paris | France	- Paris is mentioned	Q90	Q90 | Q142	No		
bpt6k1526239b	Molière	Le grand divertissement royal de Versailles	Ancient Greece	- Pastoral play - Bacchus is mentioned	-480	-31	Unknown	Unknown	-	-		No	Attention doublon	https://gallica.bnf.fr/ark:/12148/bpt6k1526239b/f11.item
bpt6k1090230g	Rosimond, Claude Rose	Les Qui pro quo, ou le Valet etourdy, comédie	Early modern	- This is a comedy - Name of the characters - Publication date - Typical characters: lover, district commissioner	1600	1673	Paris	Paris | France	- Paris is mentioned as the setting - Characters have French names	Q90	Q90 | Q142	No		
bpt6k5828916x	Rotrou, Jean de	L'hypocondriaque, ou Le mort amoureux , tragi-comédie.Dédiée a monseigneur le comte de Soissons. Par le Sr Rotrou.	Ancient Greece	-This is a pastorale play	-480	-31	Corinth 	Corinth | Greece	- Corinth is mentioned - Greek names	Q103011	Q103011 | Q41	No		
bpt6k1519300g	Chevalier, Jean	Les Galans ridicules ou les Amours de Guillot et de Ragotin, comédie...	Early modern	- This is a comedy - Typical characters: doctor, lover, valet - Publication date	1600	1662	France	France	- Nom des personnages	Q142		No		
bpt6k15107128	Racine, Jean	Athalie , tragédie tirée de l'Écriture sainte [de J. Racine]	Biblical times	- Historical character: Athaliah - Biblical characters	-835	-835	Jerusalem	Jerusalem | Kingdom of Judah  | Israël | Palestine	- Temple of Jerusalem is mentioned as the setting - City of the death of Athaliah	Q1218	Q1218 | Q48685 | Q801 | Q219060	No		
btv1b8610783h	Molière	L'avare , comédie par J.-B. P. Molière	Early modern	- Amasya is mentioned as the setting - Amasya, capitale de la Cappadoce	1600	1669	Paris	Paris | France	- Paris is mentioned as the setting - Characters have French names	Q90	Q90 | Q142	No		
bpt6k853059s	Baussays	La Cydippe de Monsieur le Chevalier de Baussays, pastorale	Early modern	- Myth of Acontius and Cydippe - But mention of Loire, Seine, Tage…	1600	1632	Unknown	Unknown				No		
bpt6k852855g	Passerat, François	L'heureux accident ou la maison de campagne, comédie / par M. Passerat	Early modern	- This is a comedy - Publication date - Typical characters: gardener, valet, lover	1600	1695	Paris	Paris | France	- A place close to Paris is mentioned as the setting - Characters have French names	Q90	Q90 | Q142	No		
bpt6k5455471b	Chappuzeau de Baugé, Daniel-Paul	Coronis , pastorale héroïque, représentée par l'Académie royale de musique, le 23e mars 1691	Ancient Greece	-This is a pastorale play	-1000	-700	Greece	Greece	- This is a pastoral play - Characters have Greek names	Q41	Q41	No		
bpt6k57899298	Rotrou, Jean de	Crisante tragedie de Mr de Rotrou	Ancient Greece	- This is a tragedy - King of Corinth	-1000	-700	Corinth	Corinth | Greece	- King of Corinth - Characters have Greek names	Q103011	Q103011 | Q41	No		
bpt6k57346959	Perrin, Pierre	Première comédie française en musique, représentée en France . Pastorale mise en musique par M. Camber...	Ancient Greece	-This is a pastorale play	-1000	-700	Greece	Greece	- This is a pastoral play - Characters have Greek names	Q41	Q41	No		
bpt6k1280564h	Molière	Psiché, tragédie ballet, par J.-B. P. Molière (P. Corneille et Quinault)	Ancient Greece	- This is a tragedy - Greek myth of Psyche	-1000	-700	Greece	Greece | Thessaly	- Myth of Psyche - Thessaly is mentioned	Q41	Q41 | Q166919	No		
btv1b86107875	Molière	L'Escole des maris, comedie, de J. B. P. Moliere. Representée sur le theatre du Palais Royal.	Early modern	- This is a comedy - Name of the characters - Publication date	1600	1661	Paris	Paris | France	- Paris is mentioned as the setting - Characters have French names	Q90	Q90 | Q142	No		
bpt6k62514727	Villiers, Claude Deschamps	Les ramonneurs. Comédie . Comédie. Par Mr de Villiers. Représentée sur le Théâtre royal de l'Hostel de Bourgogne	Early modern	- This is a comedy - Name of the characters - Publication date	1600	1662	Paris	Paris | France	- Paris is mentioned as the setting - Characters have French names	Q90	Q90 | Q142	No		
bpt6k12804415	Molière	La Critique de l'Escole des femmes, comedie. Par I. B. P. Moliere	Early modern	- This is a comedy - Name of the characters - Publication date - Place Royale is mentioned (build in 1605)	1605	1663	Paris	Paris | France	- Place Maubert is mentioned - Le Louvre is mentioned - Place Royale is mentioned	Q90	Q90 | Q142	No		
bpt6k8528543	La Motte, de.	Le Grand Magus, Tragi-Comédie	Early modern	- This is a tragi-comedy - Name of the characters - Publication date - Place Maubert is mentioned	1600	1656	Paris	Paris | France	- Place Maubert is mentioned	Q90	Q90 | Q142	No		
bpt6k5772699f	Charenton, De	La mort de Baltazar, roy de Babilone , tragédie. Par le sieur de Charenton	Neo-Babylonian Empire	- This is a tragedy - Historical character: Belshazzar	-580	-539	Babylon	Babylon | Babylonia | Mesopotamia | Iraq	- Babylon is mentioned as the setting - Belshazzar is the prince of Babylon	Q5684	Q5684 | Q47690 | Q11767 | Q796	No		
bpt6k1090242p		Tite et Titus, ou Critique sur les Berenices, comédie	Ancient Rome	- Historical character: emperor Titus Caesar Vespasianus - Date of his reign	79	81	Mount Parnassus	Mount Parnassus | Greece	- Mount Parnassus is mentioned as the setting	Q105261	Q105261 | Q41	No		
